Date,NAV
2021-05-03,10.0242
2021-05-04,9.9344
2021-05-05,10.0136
2021-05-06,10.0221
2021-05-07,10.1083
2021-05-10,10.2723
2021-05-11,10.3527
2021-05-12,10.2791
2021-05-14,10.1358
2021-05-17,10.2043
2021-05-18,10.2756
2021-05-19,10.3029
2021-05-20,10.2514
2021-05-21,10.2863
2021-05-24,10.3355
2021-05-25,10.3232
2021-05-26,10.2991
2021-05-27,10.3815
2021-05-28,10.3944
2021-05-31,10.553
2021-06-01,10.4915
2021-06-02,10.5367
2021-06-03,10.5856
2021-06-04,10.6804
2021-06-07,10.8029
2021-06-08,10.7435
2021-06-09,10.5938
2021-06-10,10.6629
2021-06-11,10.7135
2021-06-14,10.619
2021-06-15,10.6245
2021-06-16,10.6007
2021-06-17,10.481
2021-06-18,10.4626
2021-06-21,10.5181
2021-06-22,10.6671
2021-06-23,10.5825
2021-06-24,10.5596
2021-06-25,10.6537
2021-06-28,10.6844
2021-06-29,10.6294
2021-06-30,10.6331
2021-07-01,10.6064
2021-07-02,10.6023
2021-07-05,10.6982
2021-07-06,10.6888
2021-07-07,10.7123
2021-07-08,10.5924
2021-07-09,10.6261
2021-07-12,10.6097
2021-07-13,10.6969
2021-07-14,10.74
2021-07-15,10.7715
2021-07-16,10.8295
2021-07-19,10.7039
2021-07-20,10.5739
2021-07-22,10.7425
2021-07-23,10.7625
2021-07-26,10.7791
2021-07-27,10.6858
2021-07-28,10.7209
2021-07-29,10.8057
2021-07-30,10.9054
2021-08-02,11.0229
2021-08-03,11.109
2021-08-04,11.0712
2021-08-05,11.063
2021-08-06,11.031
2021-08-09,10.9194
2021-08-10,10.7678
2021-08-11,10.9034
2021-08-12,10.9492
2021-08-13,10.9333
2021-08-16,10.961
2021-08-17,10.7331
2021-08-18,10.6705
2021-08-20,10.3801
2021-08-23,10.2773
2021-08-24,10.5147
2021-08-25,10.5451
2021-08-26,10.4627
2021-08-27,10.5588
2021-08-30,10.6968
2021-08-31,10.7607
2021-09-01,10.7784
2021-09-02,10.8874
2021-09-03,10.9603
2021-09-06,10.9767
2021-09-07,10.9713
2021-09-08,10.968
2021-09-09,11.0204
2021-09-13,11.0324
2021-09-14,11.1113
2021-09-15,11.1627
2021-09-16,11.2458
2021-09-17,11.1179
2021-09-20,10.9172
2021-09-21,10.9849
2021-09-22,11.0838
2021-09-23,11.2943
2021-09-24,11.1901
2021-09-27,11.1765
2021-09-28,11.1144
2021-09-29,11.101
2021-09-30,11.085
2021-10-01,11.0865
2021-10-04,11.2116
2021-10-05,11.3288
2021-10-06,11.1497
2021-10-07,11.2442
2021-10-08,11.2567
2021-10-11,11.2808
2021-10-12,11.4006
2021-10-13,11.4942
2021-10-14,11.6667
2021-10-18,11.7352
2021-10-19,11.5791
2021-10-20,11.4596
2021-10-21,11.3758
2021-10-22,11.2319
2021-10-25,11.223
2021-10-26,11.3538
2021-10-27,11.3921
2021-10-28,11.0231
2021-10-29,11.0388
2021-11-01,11.1918
2021-11-02,11.3384
2021-11-03,11.3926
2021-11-08,11.745
2021-11-09,11.8934
2021-11-10,11.817
2021-11-11,11.7444
2021-11-12,11.7854
2021-11-15,11.7311
2021-11-16,11.6183
2021-11-17,11.5945
2021-11-18,11.4891
2021-11-22,11.3055
2021-11-23,11.5435
2021-11-24,11.5279
2021-11-25,11.6614
2021-11-26,11.2981
2021-11-29,11.1541
2021-11-30,11.1026
2021-12-01,11.3475
2021-12-02,11.4832
2021-12-03,11.3953
2021-12-06,11.1616
2021-12-07,11.36
2021-12-08,11.5801
2021-12-09,11.6783
2021-12-10,11.8816
2021-12-13,11.8404
2021-12-14,11.7113
2021-12-15,11.576
2021-12-16,11.507
2021-12-17,11.2229
2021-12-20,10.8153
2021-12-21,10.9914
2021-12-22,11.1433
2021-12-23,11.281
2021-12-24,11.1899
2021-12-27,11.2299
2021-12-28,11.335
2021-12-29,11.2665
2021-12-30,11.1977
2021-12-31,11.297
2022-01-03,11.4611
2022-01-04,11.5529
2022-01-05,11.7079
2022-01-06,11.6691
2022-01-07,11.6373
2022-01-10,11.7798
2022-01-11,11.8814
2022-01-12,11.941
2022-01-13,12.04
2022-01-14,12.1314
2022-01-17,12.1999
2022-01-18,11.9669
2022-01-19,11.9469
2022-01-20,11.9029
2022-01-21,11.716
2022-01-24,11.2643
2022-01-25,11.4673
2022-01-27,11.3981
2022-01-28,11.467
2022-01-31,11.6355
2022-02-01,11.8989
2022-02-02,12.0197
2022-02-03,12.0245
2022-02-04,12.0402
2022-02-07,11.9322
2022-02-08,11.8177
2022-02-09,11.9795
2022-02-10,12.0798
2022-02-11,11.9246
2022-02-14,11.3425
2022-02-15,11.6446
2022-02-16,11.5968
2022-02-17,11.511
2022-02-18,11.4356
2022-02-21,11.2147
2022-02-22,10.9647
2022-02-23,11.0408
2022-02-24,10.3386
2022-02-25,10.7271
2022-02-28,10.8734
2022-03-02,10.8216
2022-03-03,10.794
2022-03-04,10.6648
2022-03-07,10.3807
2022-03-08,10.5224
2022-03-09,10.8398
2022-03-10,11.031
2022-03-11,11.0577
2022-03-14,11.1492
2022-03-15,11.1153
2022-03-16,11.3148
2022-03-17,11.5224
2022-03-21,11.4602
2022-03-22,11.5349
2022-03-23,11.538
2022-03-24,11.7889
2022-03-25,11.8363
2022-03-28,11.8414
2022-03-29,12.0472
2022-03-30,12.17
2022-03-31,12.2887
2022-04-01,12.4618
2022-04-04,12.6495
2022-04-05,12.6671
2022-04-06,12.6239
2022-04-07,12.5541
2022-04-08,12.7843
2022-04-11,12.855
2022-04-12,12.6888
2022-04-13,12.7514
2022-04-18,12.7195
2022-04-19,12.5422
2022-04-20,12.6195
2022-04-21,12.8709
2022-04-22,12.6771
2022-04-25,12.4088
2022-04-26,12.7483
2022-04-27,12.7
2022-04-28,12.6512
2022-04-29,12.4491
2022-05-02,12.389
2022-05-04,11.9437
2022-05-05,12.021
2022-05-06,11.9083
2022-05-09,11.7025
2022-05-10,11.4254
2022-05-11,11.2427
2022-05-12,11.0036
2022-05-13,10.9892
2022-05-16,11.2119
2022-05-17,11.5796
2022-05-18,11.5941
2022-05-19,11.3717
2022-05-20,11.7655
2022-05-23,11.7137
2022-05-24,11.5527
2022-05-25,11.3251
2022-05-26,11.422
2022-05-27,11.4649
2022-05-30,11.6679
2022-05-31,11.707
2022-06-01,11.6516
2022-06-02,11.7585
2022-06-03,11.6452
2022-06-06,11.6397
2022-06-07,11.5854
2022-06-08,11.5176
2022-06-09,11.5982
2022-06-10,11.5137
2022-06-13,11.1312
2022-06-14,11.2135
2022-06-15,11.199
2022-06-16,10.8905
2022-06-17,10.7883
2022-06-20,10.6603
2022-06-21,10.9454
2022-06-22,10.7639
2022-06-23,10.8402
2022-06-24,11.007
2022-06-27,11.1645
2022-06-28,11.2163
2022-06-29,11.215
2022-06-30,11.1875
2022-07-01,11.1453
2022-07-04,11.2253
2022-07-05,11.2052
2022-07-06,11.2962
2022-07-07,11.4587
2022-07-08,11.5435
2022-07-11,11.623
2022-07-12,11.5447
2022-07-13,11.4933
2022-07-14,11.4714
2022-07-15,11.547
2022-07-18,11.7536
2022-07-19,11.83
2022-07-20,11.8642
2022-07-21,11.9841
2022-07-22,12.0343
2022-07-25,12.0411
2022-07-26,11.974
2022-07-27,12.11
2022-07-28,12.1421
2022-07-29,12.2013
2022-08-01,12.3817
2022-08-02,12.4183
2022-08-03,12.4361
2022-08-04,12.3497
2022-08-05,12.4055
2022-08-08,12.4856
2022-08-10,12.4574
2022-08-11,12.535
2022-08-12,12.5571
2022-08-16,12.6772
2022-08-17,12.809
2022-08-18,12.8802
2022-08-19,12.8276
2022-08-22,12.6065
2022-08-23,12.6902
2022-08-24,12.7978
2022-08-25,12.7277
2022-08-26,12.8531
2022-08-29,12.7936
2022-08-30,13.0202
2022-09-01,13.0105
2022-09-02,13.1555
2022-09-05,13.2659
2022-09-06,13.2841
2022-09-07,13.374
2022-09-08,13.4951
2022-09-09,13.511
2022-09-12,13.6312
2022-09-13,13.7013
2022-09-14,13.7743
2022-09-15,13.7999
2022-09-16,13.4871
2022-09-19,13.5648
2022-09-20,13.71
2022-09-21,13.6344
2022-09-22,13.6593
2022-09-23,13.409
2022-09-26,13.0165
2022-09-27,13.0112
2022-09-28,12.8555
2022-09-29,12.8664
2022-09-30,13.0545
2022-10-03,12.7891
2022-10-04,13.147
2022-10-06,13.2307
2022-10-07,13.23
2022-10-10,13.1485
2022-10-11,12.9268
2022-10-12,13.049
2022-10-13,12.942
2022-10-14,12.9932
2022-10-17,13.114
2022-10-18,13.3266
2022-10-19,13.2848
2022-10-20,13.3774
2022-10-21,13.3344
2022-10-25,13.4612
2022-10-27,13.5435
2022-10-28,13.5504
2022-10-31,13.6615
2022-11-01,13.7031
2022-11-02,13.6416
2022-11-03,13.6821
2022-11-04,13.7429
2022-11-07,13.7923
2022-11-09,13.8378
2022-11-10,13.6932
2022-11-11,13.8061
2022-11-14,13.8278
2022-11-15,13.8698
2022-11-16,13.8204
2022-11-17,13.7687
2022-11-18,13.8227
2022-11-21,13.7629
2022-11-22,13.8385
2022-11-23,13.9317
2022-11-24,14.0766
2022-11-25,14.1794
2022-11-28,14.3438
2022-11-29,14.3788
2022-11-30,14.4068
2022-12-01,14.4776
2022-12-02,14.5246
2022-12-05,14.5828
2022-12-06,14.5183
2022-12-07,14.4939
2022-12-08,14.6009
2022-12-09,14.4227
2022-12-12,14.5278
2022-12-13,14.5732
2022-12-14,14.7303
2022-12-15,14.6105
2022-12-16,14.4032
2022-12-19,14.5546
2022-12-20,14.5169
2022-12-21,14.2798
2022-12-22,14.177
2022-12-23,13.7837
2022-12-26,14.0828
2022-12-27,14.3276
2022-12-28,14.3905
2022-12-29,14.5293
2022-12-30,14.5735
2023-01-02,14.7255
2023-01-03,14.7969
2023-01-04,14.5351
2023-01-05,14.5827
2023-01-06,14.4997
2023-01-09,14.6363
2023-01-10,14.4948
2023-01-11,14.5518
2023-01-12,14.4959
2023-01-13,14.5562
2023-01-16,14.5031
2023-01-17,14.5441
2023-01-18,14.6529
2023-01-19,14.6855
2023-01-20,14.693
2023-01-23,14.7346
2023-01-24,14.603
2023-01-25,14.4269
2023-01-27,14.1007
2023-01-30,14.0384
2023-01-31,14.1822
2023-02-01,14.0119
2023-02-02,13.9786
2023-02-03,14.0431
2023-02-06,14.0465
2023-02-07,13.9997
2023-02-08,14.1547
2023-02-09,14.1891
2023-02-10,14.19
2023-02-13,14.0738
2023-02-14,14.1536
2023-02-15,14.2137
2023-02-16,14.2237
2023-02-17,14.1419
2023-02-20,14.096
2023-02-21,14.0558
2023-02-22,13.8554
2023-02-23,13.8828
2023-02-24,13.7139
2023-02-27,13.6126
2023-02-28,13.6472
2023-03-01,13.7979
2023-03-02,13.8527
2023-03-03,14.0334
2023-03-06,14.1112
2023-03-08,14.1315
2023-03-09,14.085
2023-03-10,13.9285
2023-03-13,13.6908
2023-03-14,13.6322
2023-03-15,13.6142
2023-03-16,13.6153
2023-03-17,13.7775
2023-03-20,13.5872
2023-03-21,13.6854
2023-03-22,13.727
2023-03-23,13.6719
2023-03-24,13.5395
2023-03-27,13.5265
2023-03-28,13.5093
2023-03-29,13.6634
2023-03-31,13.8934
2023-04-03,13.9344
2023-04-05,14.0563
2023-04-06,14.1304
2023-04-10,14.1745
2023-04-11,14.1893
2023-04-12,14.2427
2023-04-13,14.2672
2023-04-17,14.2335
2023-04-18,14.2179
2023-04-19,14.2388
2023-04-20,14.2589
2023-04-21,14.1928
2023-04-24,14.2657
2023-04-25,14.2698
2023-04-26,14.3475
2023-04-27,14.4504
2023-04-28,14.615
2023-05-02,14.6875
2023-05-03,14.6926
2023-05-04,14.7961
2023-05-05,14.6723
2023-05-08,14.8055
2023-05-09,14.7948
2023-05-10,14.8642
2023-05-11,14.8255
2023-05-12,14.853
2023-05-15,15.0348
2023-05-16,14.9518
2023-05-17,14.9084
2023-05-18,14.798
2023-05-19,14.7869
2023-05-22,14.8973
2023-05-23,14.8456
2023-05-24,14.8071
2023-05-25,14.8794
2023-05-26,14.9943
2023-05-29,15.0778
2023-05-30,15.0835
2023-05-31,15.0683
2023-06-01,15.1015
2023-06-02,15.2197
2023-06-05,15.2277
2023-06-06,15.2707
2023-06-07,15.4122
2023-06-08,15.3688
2023-06-09,15.4266
2023-06-12,15.5133
2023-06-13,15.7036
2023-06-14,15.7113
2023-06-15,15.7659
2023-06-16,15.7969
2023-06-19,15.8551
2023-06-20,15.9299
2023-06-21,15.9352
2023-06-22,15.8865
2023-06-23,15.7916
2023-06-26,15.8164
2023-06-27,15.9427
2023-06-28,15.99
2023-06-30,16.0622
2023-07-03,16.1044
2023-07-04,16.0677
2023-07-05,16.1205
2023-07-06,16.2765
2023-07-07,16.1655
2023-07-10,16.1832
2023-07-11,16.2047
2023-07-12,16.1826
2023-07-13,16.1115
2023-07-14,16.3394
2023-07-17,16.4583
2023-07-18,16.4102
2023-07-19,16.5451
2023-07-20,16.602
2023-07-21,16.5309
2023-07-24,16.5148
2023-07-25,16.6446
