Date,NAV
2021-12-01,10.0448
2021-12-02,10.1164
2021-12-03,10.0845
2021-12-06,9.9536
2021-12-07,10.0792
2021-12-08,10.2373
2021-12-09,10.406
2021-12-10,10.7924
2021-12-13,10.7135
2021-12-14,10.686
2021-12-15,10.5735
2021-12-16,10.4027
2021-12-17,10.1441
2021-12-20,9.7757
2021-12-21,9.8946
2021-12-22,10.0368
2021-12-23,10.0899
2021-12-24,10.0163
2021-12-27,9.9981
2021-12-28,10.1194
2021-12-29,10.0653
2021-12-30,10.0061
2021-12-31,10.1403
2022-01-03,10.2645
2022-01-04,10.2673
2022-01-05,10.3405
2022-01-06,10.3858
2022-01-07,10.4502
2022-01-10,10.5695
2022-01-11,10.5224
2022-01-12,10.5445
2022-01-13,10.6173
2022-01-14,10.7046
2022-01-17,10.7593
2022-01-18,10.5114
2022-01-19,10.5259
2022-01-20,10.5943
2022-01-21,10.4393
2022-01-24,9.9851
2022-01-25,10.2187
2022-01-27,10.2572
2022-01-28,10.2926
2022-01-31,10.3453
2022-02-01,10.4832
2022-02-02,10.6715
2022-02-03,10.7517
2022-02-04,10.8005
2022-02-07,10.7289
2022-02-08,10.5855
2022-02-09,10.7275
2022-02-10,10.8043
2022-02-11,10.6537
2022-02-14,10.1045
2022-02-15,10.3683
2022-02-16,10.3353
2022-02-17,10.2165
2022-02-18,10.1169
2022-02-21,9.8287
2022-02-22,9.5884
2022-02-23,9.6688
2022-02-24,9.064
2022-02-25,9.4335
2022-02-28,9.5831
2022-03-02,9.6649
2022-03-03,9.748
2022-03-04,9.5884
2022-03-07,9.4085
2022-03-08,9.5157
2022-03-09,9.7024
2022-03-10,9.7772
2022-03-11,9.7991
2022-03-14,9.7839
2022-03-15,9.6528
2022-03-16,9.7878
2022-03-17,9.9224
2022-03-21,9.9064
2022-03-22,9.9719
2022-03-23,9.9622
2022-03-24,10.1787
2022-03-25,10.152
2022-03-28,10.1315
2022-03-29,10.2519
2022-03-30,10.3155
2022-03-31,10.3629
2022-04-01,10.6059
2022-04-04,10.8101
2022-04-05,10.8048
2022-04-06,10.8614
2022-04-07,10.7853
2022-04-08,10.9738
2022-04-11,11.0496
2022-04-12,10.9093
2022-04-13,10.998
2022-04-18,10.962
2022-04-19,10.8731
2022-04-20,10.9241
2022-04-21,11.0887
2022-04-22,10.9089
2022-04-25,10.7063
2022-04-26,11.0112
2022-04-27,11.0256
2022-04-28,10.8566
2022-04-29,10.6856
2022-05-02,10.5716
2022-05-04,10.206
2022-05-05,10.317
2022-05-06,10.1588
2022-05-09,9.9294
2022-05-10,9.6718
2022-05-11,9.4126
2022-05-12,9.2323
2022-05-13,9.2282
2022-05-16,9.3936
2022-05-17,9.7593
2022-05-18,9.7842
2022-05-19,9.5565
2022-05-20,9.9088
2022-05-23,9.8362
2022-05-24,9.7021
2022-05-25,9.47
2022-05-26,9.5638
2022-05-27,9.6539
2022-05-30,9.7667
2022-05-31,9.7656
2022-06-01,9.7853
2022-06-02,9.9051
2022-06-03,9.801
2022-06-06,9.7348
2022-06-07,9.7081
2022-06-08,9.7271
2022-06-09,9.7271
2022-06-10,9.6806
2022-06-13,9.3006
2022-06-14,9.3168
2022-06-15,9.3399
2022-06-16,8.9608
2022-06-17,8.8835
2022-06-20,8.5858
2022-06-21,8.9
2022-06-22,8.6944
2022-06-23,8.8128
2022-06-24,8.967
2022-06-27,9.0974
2022-06-28,9.1814
2022-06-29,9.1601
2022-06-30,9.0861
2022-07-01,9.0258
2022-07-04,9.0198
2022-07-05,9.008
2022-07-06,9.0336
2022-07-07,9.2015
2022-07-08,9.261
2022-07-11,9.3589
2022-07-12,9.3523
2022-07-13,9.3297
2022-07-14,9.2777
2022-07-15,9.3211
2022-07-18,9.4712
2022-07-19,9.5281
2022-07-20,9.5881
2022-07-21,9.6649
2022-07-22,9.7071
2022-07-25,9.6451
2022-07-26,9.6051
2022-07-27,9.7411
2022-07-28,9.7831
2022-07-29,9.9114
2022-08-01,10.0688
2022-08-02,10.1352
2022-08-03,10.094
2022-08-04,10.0307
2022-08-05,10.0661
2022-08-08,10.2376
2022-08-10,10.1563
2022-08-11,10.2047
2022-08-12,10.2564
2022-08-16,10.3227
2022-08-17,10.3752
2022-08-18,10.3896
2022-08-19,10.3159
2022-08-22,10.1391
2022-08-23,10.2836
2022-08-24,10.3849
2022-08-25,10.3352
2022-08-26,10.4271
2022-08-29,10.3674
2022-08-30,10.527
2022-09-01,10.527
2022-09-02,10.5699
2022-09-05,10.7812
2022-09-06,10.7902
2022-09-07,10.8326
2022-09-08,10.9773
2022-09-09,11.0002
2022-09-12,11.0232
2022-09-13,11.0705
2022-09-14,11.1303
2022-09-15,11.1361
2022-09-16,10.8514
2022-09-19,10.8382
2022-09-20,10.9959
2022-09-21,10.9615
2022-09-22,11.0026
2022-09-23,10.7778
2022-09-26,10.3506
2022-09-27,10.3611
2022-09-28,10.2225
2022-09-29,10.3336
2022-09-30,10.479
2022-10-03,10.3311
2022-10-04,10.5851
2022-10-06,10.7364
2022-10-07,10.7456
2022-10-10,10.7133
2022-10-11,10.55
2022-10-12,10.6177
2022-10-13,10.5017
2022-10-14,10.5542
2022-10-17,10.7072
2022-10-18,10.8588
2022-10-19,10.8294
2022-10-20,10.9249
2022-10-21,10.8281
2022-10-25,11.0098
2022-10-27,11.0575
2022-10-28,11.0072
2022-10-31,11.0844
2022-11-01,11.0991
2022-11-02,11.0935
2022-11-03,11.096
2022-11-04,11.1677
2022-11-07,11.268
2022-11-09,11.3305
2022-11-10,11.1677
2022-11-11,11.2096
2022-11-14,11.1727
2022-11-15,11.2575
2022-11-16,11.1822
2022-11-17,11.1315
2022-11-18,11.1245
2022-11-21,11.117
2022-11-22,11.1532
2022-11-23,11.2476
2022-11-24,11.354
2022-11-25,11.4279
2022-11-28,11.5507
2022-11-29,11.5186
2022-11-30,11.552
2022-12-01,11.6631
2022-12-02,11.6968
2022-12-05,11.8386
2022-12-06,11.861
2022-12-07,11.8337
2022-12-08,11.8972
2022-12-09,11.7533
2022-12-12,11.9161
2022-12-13,12.0305
2022-12-14,12.0984
2022-12-15,11.9905
2022-12-16,11.8023
2022-12-19,11.8657
2022-12-20,11.8373
2022-12-21,11.5075
2022-12-22,11.3024
2022-12-23,10.7633
2022-12-26,11.205
2022-12-27,11.3953
2022-12-28,11.4969
2022-12-29,11.5723
2022-12-30,11.6437
2023-01-02,11.8173
2023-01-03,11.8647
2023-01-04,11.7047
2023-01-05,11.697
2023-01-06,11.63
2023-01-09,11.7537
2023-01-10,11.6244
2023-01-11,11.6317
2023-01-12,11.588
2023-01-13,11.6502
2023-01-16,11.6879
2023-01-17,11.6519
2023-01-18,11.7027
2023-01-19,11.6401
2023-01-20,11.6208
2023-01-23,11.6244
2023-01-24,11.4938
2023-01-25,11.3344
2023-01-27,10.9836
2023-01-30,10.9348
2023-01-31,11.2088
2023-02-01,10.9706
2023-02-02,10.9953
2023-02-03,10.9923
2023-02-06,10.9968
2023-02-07,10.967
2023-02-08,11.0403
2023-02-09,11.048
2023-02-10,11.0736
2023-02-13,10.9864
2023-02-14,10.9958
2023-02-15,11.0269
2023-02-16,11.0313
2023-02-17,10.9753
2023-02-20,10.9166
2023-02-21,10.9509
2023-02-22,10.8648
2023-02-23,10.7844
2023-02-24,10.7109
2023-02-27,10.6789
2023-02-28,10.6726
2023-03-01,10.8302
2023-03-02,10.812
2023-03-03,11.0402
2023-03-06,11.1294
2023-03-08,11.1851
2023-03-09,11.1223
2023-03-10,11.0417
2023-03-13,10.7716
2023-03-14,10.7075
